Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH4,NO2,01/01/2019 00:00,33.50000,ug m-3,R
TH4,NO2,01/01/2019 01:00,37.30000,ug m-3,R
TH4,NO2,01/01/2019 02:00,28.00000,ug m-3,R
TH4,NO2,01/01/2019 03:00,26.60000,ug m-3,R
TH4,NO2,01/01/2019 04:00,25.20000,ug m-3,R
TH4,NO2,01/01/2019 05:00,28.80000,ug m-3,R
TH4,NO2,01/01/2019 06:00,34.10000,ug m-3,R
TH4,NO2,01/01/2019 07:00,38.00000,ug m-3,R
TH4,NO2,01/01/2019 08:00,36.10000,ug m-3,R
TH4,NO2,01/01/2019 09:00,36.00000,ug m-3,R
TH4,NO2,01/01/2019 10:00,32.80000,ug m-3,R
TH4,NO2,01/01/2019 11:00,34.40000,ug m-3,R
TH4,NO2,01/01/2019 12:00,28.80000,ug m-3,R
TH4,NO2,01/01/2019 13:00,35.00000,ug m-3,R
TH4,NO2,01/01/2019 14:00,34.90000,ug m-3,R
TH4,NO2,01/01/2019 15:00,42.80000,ug m-3,R
TH4,NO2,01/01/2019 16:00,42.00000,ug m-3,R
TH4,NO2,01/01/2019 17:00,36.00000,ug m-3,R
TH4,NO2,01/01/2019 18:00,28.50000,ug m-3,R
TH4,NO2,01/01/2019 19:00,28.40000,ug m-3,R
TH4,NO2,01/01/2019 20:00,25.20000,ug m-3,R
TH4,NO2,01/01/2019 21:00,28.10000,ug m-3,R
TH4,NO2,01/01/2019 22:00,27.90000,ug m-3,R
TH4,NO2,01/01/2019 23:00,33.40000,ug m-3,R
TH4,NO2,02/01/2019 00:00,27.60000,ug m-3,R
TH4,NO2,02/01/2019 01:00,31.40000,ug m-3,R
TH4,NO2,02/01/2019 02:00,29.00000,ug m-3,R
TH4,NO2,02/01/2019 03:00,22.10000,ug m-3,R
TH4,NO2,02/01/2019 04:00,29.90000,ug m-3,R
TH4,NO2,02/01/2019 05:00,41.60000,ug m-3,R
TH4,NO2,02/01/2019 06:00,68.20000,ug m-3,R
TH4,NO2,02/01/2019 07:00,70.10000,ug m-3,R
TH4,NO2,02/01/2019 08:00,67.30000,ug m-3,R
TH4,NO2,02/01/2019 09:00,69.40000,ug m-3,R
TH4,NO2,02/01/2019 10:00,71.30000,ug m-3,R
TH4,NO2,02/01/2019 11:00,64.60000,ug m-3,R
TH4,NO2,02/01/2019 12:00,68.60000,ug m-3,R
TH4,NO2,02/01/2019 13:00,69.70000,ug m-3,R
TH4,NO2,02/01/2019 14:00,77.90000,ug m-3,R
