,Unnamed: 0,DATE,DEW,TMP,DIR,SPD,HUM,NO2,O3,PM25
0,0,2017-01-01 00:00:00,5.0,7.5,230.0,13.86,84.22530185772081,38.9,22.5,28.4
1,1,2017-01-01 01:00:00,5.0,7.0,235.0,10.260000000000002,87.09805658818216,63.0,18.1,32.5
2,2,2017-01-01 02:00:00,5.0,7.0,225.0,15.66,87.09805658818216,47.9,20.3,24.9
3,3,2017-01-01 03:00:00,5.0,7.0,220.0,13.86,87.09805658818216,51.0,18.3,19.8
4,4,2017-01-01 04:00:00,4.0,7.0,225.0,12.96,81.21727894075245,42.8,18.9,20.3
5,5,2017-01-01 05:00:00,5.0,7.0,225.0,13.86,87.09805658818216,40.6,21.3,19.0
6,6,2017-01-01 06:00:00,5.5,7.0,230.0,12.06,90.22514126346948,42.1,16.8,20.6
7,7,2017-01-01 07:00:00,6.0,7.5,230.0,12.06,90.27318997435336,35.1,23.2,19.6
8,8,2017-01-01 08:00:00,6.5,8.0,220.0,11.16,90.29877754458131,39.8,17.5,19.5
9,9,2017-01-01 09:00:00,7.0,8.5,220.0,8.46,90.3463052602894,43.1,15.3,20.0
10,10,2017-01-01 10:00:00,7.5,9.5,240.0,12.96,87.33622344478512,36.1,28.6,14.3
11,11,2017-01-01 11:00:00,7.5,10.0,245.0,13.86,84.50107659897556,34.3,35.5,5.5
12,12,2017-01-01 12:00:00,7.0,10.0,240.0,15.66,81.61891574974695,42.1,33.2,5.9
13,13,2017-01-01 13:00:00,7.0,10.0,240.0,14.76,81.61891574974695,49.1,30.2,8.3
14,14,2017-01-01 14:00:00,6.5,8.0,310.0,20.340000000000003,90.27602561581527,44.8,35.8,4.0
15,15,2017-01-01 15:00:00,4.5,6.0,185.0,20.52,90.15068137708731,37.8,45.6,2.7
16,16,2017-01-01 16:00:00,4.0,6.0,15.0,20.34,87.00090236095129,34.3,48.7,0.8
17,17,2017-01-01 17:00:00,3.5,5.0,30.0,16.56,90.07538585349043,25.7,52.9,1.2
18,18,2017-01-01 18:00:00,4.0,5.0,30.0,13.86,93.24809544805888,35.2,45.8,0.0
19,19,2017-01-01 19:00:00,4.0,5.0,30.0,14.76,93.24809544805888,31.2,48.9,1.8
20,20,2017-01-01 20:00:00,4.0,5.0,20.0,13.86,93.24809544805888,34.8,43.0,3.8
21,21,2017-01-01 21:00:00,4.0,5.0,10.0,13.86,93.24809544805888,40.6,36.7,3.4
22,22,2017-01-01 22:00:00,4.0,5.0,10.0,12.06,93.24809544805888,34.9,36.2,4.5
23,23,2017-01-01 23:00:00,3.5,5.0,10.0,10.260000000000002,90.07538585349043,38.6,31.7,4.2
24,24,2017-01-02 00:00:00,3.0,5.0,185.0,12.96,86.90267625892197,30.7,38.2,2.9
25,25,2017-01-02 01:00:00,3.0,5.0,10.0,12.06,86.90267625892197,27.4,38.8,3.6
26,26,2017-01-02 02:00:00,3.0,4.5,180.0,13.86,90.04889909912634,24.3,39.2,0.0
27,27,2017-01-02 03:00:00,2.0,3.5,355.0,12.96,89.9724467417483,26.8,33.8,2.5
28,28,2017-01-02 04:00:00,2.0,3.0,350.0,8.46,93.14153052995036,33.9,28.9,3.4
29,29,2017-01-02 05:00:00,2.0,3.0,0.0,4.5,93.14153052995036,42.5,19.0,4.3
30,30,2017-01-02 06:00:00,1.0,3.0,330.0,10.260000000000002,86.70294685196764,44.1,22.4,4.9
31,31,2017-01-02 07:00:00,1.0,3.0,355.0,9.36,86.70294685196764,49.9,19.9,3.1
32,32,2017-01-02 08:00:00,1.0,3.0,345.0,9.36,86.70294685196764,57.0,13.1,2.4
33,33,2017-01-02 09:00:00,1.0,3.0,340.0,12.06,86.70294685196764,58.0,17.6,4.8
34,34,2017-01-02 10:00:00,1.0,4.0,350.0,16.56,80.80291704368436,50.4,20.4,7.2
35,35,2017-01-02 11:00:00,1.0,4.5,350.0,15.66,78.07504912669751,47.5,25.0,2.5
36,36,2017-01-02 12:00:00,1.5,5.0,355.0,13.86,78.14483197437917,51.8,24.3,9.4
37,37,2017-01-02 13:00:00,1.0,5.5,335.0,11.16,72.82322408584345,55.8,22.7,5.6
38,38,2017-01-02 14:00:00,1.0,6.0,310.0,11.16,70.29926696197629,69.5,19.9,8.0
39,39,2017-01-02 15:00:00,1.0,5.0,335.0,9.36,75.34718120971063,82.7,9.4,10.2
40,40,2017-01-02 16:00:00,1.0,5.0,300.0,11.16,75.34718120971063,91.6,5.9,10.7
41,41,2017-01-02 17:00:00,1.0,4.0,295.0,10.260000000000002,80.80291704368436,92.5,2.6,16.7
42,42,2017-01-02 18:00:00,0.5,3.0,280.0,9.36,83.68241376741805,87.4,2.5,16.5
43,43,2017-01-02 19:00:00,0.0,3.0,290.0,11.16,80.66188068286847,102.4,2.0,15.6
44,44,2017-01-02 20:00:00,-1.0,3.0,290.0,12.96,74.99695876852216,85.5,1.8,14.6
45,45,2017-01-02 21:00:00,-1.0,2.5,285.0,11.16,77.75815642725658,88.9,1.9,16.0
46,46,2017-01-02 22:00:00,-1.0,2.0,270.0,10.260000000000002,80.519354085991,83.9,1.7,18.5
47,47,2017-01-02 23:00:00,0.0,1.0,230.0,10.260000000000002,93.03245577175896,85.4,1.5,16.4
48,48,2017-01-03 00:00:00,-0.5,1.0,245.0,11.16,89.76559915382973,72.8,1.5,22.7
49,49,2017-01-03 01:00:00,-1.0,1.0,230.0,10.260000000000002,86.4987425359005,67.7,3.0,16.9
50,50,2017-01-03 02:00:00,-1.0,0.5,240.0,11.16,89.73784769176523,59.5,1.4,19.9
51,51,2017-01-03 03:00:00,-1.0,0.0,230.0,12.96,92.97695284762995,57.1,1.4,15.6
52,52,2017-01-03 04:00:00,-1.0,0.0,240.0,13.86,92.97695284762995,54.6,1.4,12.0
53,53,2017-01-03 05:00:00,-1.0,0.5,240.0,13.86,89.73784769176523,57.2,2.1,12.8
54,54,2017-01-03 06:00:00,-1.0,1.0,245.0,17.46,86.4987425359005,66.0,1.9,11.5
55,55,2017-01-03 07:00:00,-1.0,1.0,240.0,18.36,86.4987425359005,72.6,1.5,10.4
56,56,2017-01-03 08:00:00,-1.0,1.0,245.0,18.54,86.4987425359005,85.1,2.1,7.9
57,57,2017-01-03 09:00:00,-0.5,2.5,240.0,13.86,80.59061738442973,97.1,3.9,9.7
58,58,2017-01-03 10:00:00,0.0,3.0,245.0,20.52,80.66188068286847,88.0,4.9,11.7
59,59,2017-01-03 11:00:00,0.5,4.0,250.0,21.42,77.98792755232054,90.0,7.1,10.6
60,60,2017-01-03 12:00:00,1.0,5.0,255.0,21.42,75.34718120971063,88.9,9.2,0.0
61,61,2017-01-03 13:00:00,1.0,6.0,270.0,23.22,70.29926696197629,0.0,11.2,0.0
62,62,2017-01-03 14:00:00,1.5,6.0,270.0,22.32,72.90948800560659,74.0,16.7,0.0
63,63,2017-01-03 15:00:00,1.0,6.0,280.0,26.82,70.29926696197629,58.1,26.1,0.0
64,64,2017-01-03 16:00:00,1.0,6.0,270.0,25.92,70.29926696197629,64.2,18.1,0.0
65,65,2017-01-03 17:00:00,1.5,6.0,255.0,21.42,72.90948800560659,80.6,6.5,0.0
66,66,2017-01-03 18:00:00,2.0,5.0,245.0,22.32,80.94248273904773,77.7,3.3,0.0
67,67,2017-01-03 19:00:00,2.0,5.0,255.0,18.36,80.94248273904773,79.2,3.5,0.0
68,68,2017-01-03 20:00:00,2.0,5.0,255.0,21.42,80.94248273904773,76.3,5.1,0.0
69,69,2017-01-03 21:00:00,2.0,5.5,270.0,24.12,78.23109589414231,62.2,15.3,0.0
70,70,2017-01-03 22:00:00,1.5,5.5,260.0,23.22,75.43344512947377,59.0,16.9,0.0
71,71,2017-01-03 23:00:00,1.0,5.0,250.0,22.32,75.34718120971063,57.8,14.5,0.0
72,72,2017-01-04 00:00:00,1.0,4.5,255.0,25.92,78.07504912669751,46.5,23.4,0.0
73,73,2017-01-04 01:00:00,1.0,4.0,260.0,22.32,80.80291704368436,37.3,27.5,0.0
74,74,2017-01-04 02:00:00,1.5,5.0,250.0,18.54,78.14483197437917,36.1,26.3,0.0
75,75,2017-01-04 03:00:00,2.0,5.0,255.0,18.36,80.94248273904773,35.3,25.2,0.0
76,76,2017-01-04 04:00:00,2.0,5.5,260.0,17.46,78.23109589414231,44.3,18.8,0.0
77,77,2017-01-04 05:00:00,2.5,5.5,260.0,17.46,81.01153989132717,60.2,12.8,0.0
78,78,2017-01-04 06:00:00,3.0,6.5,265.0,19.44,78.38556959412361,77.7,12.2,0.0
79,79,2017-01-04 07:00:00,4.0,7.0,285.0,20.52,81.21727894075245,78.8,8.9,0.0
80,80,2017-01-04 08:00:00,4.0,7.0,290.0,21.42,81.21727894075245,71.2,11.6,0.0
81,81,2017-01-04 09:00:00,5.0,7.5,290.0,18.36,84.22530185772081,80.2,9.4,0.0
82,82,2017-01-04 10:00:00,5.0,8.0,290.0,18.54,81.35254712725947,71.7,13.5,0.0
83,83,2017-01-04 11:00:00,5.0,7.0,185.0,17.64,87.09805658818216,62.6,16.9,0.0
