DEW,TMP,DIR,SPD,HUM,NO2,O3,PM25,MONTH,HOUR,DAY_CAT,DEW_1,TMP_1,DIR_1,SPD_1,HUM_1,NO2_1,O3_1,DEW_2,TMP_2,DIR_2,HUM_2,SPD_2,NO2_2,O3_2,DEW_3,TMP_3,DIR_3,HUM_3,SPD_3,NO2_3,O3_3,DEW_4,TMP_4,DIR_4,HUM_4,SPD_4,NO2_4,O3_4,DEW_5,TMP_5,DIR_5,HUM_5,SPD_5,NO2_5,O3_5
5.0,7.0,225.0,13.86,87.09805658818217,40.6,21.3,19.0,1,5,6,4.0,7.0,225.0,12.96,81.21727894075245,42.8,18.9,5.0,7.0,220.0,87.09805658818217,13.86,51.0,18.3,5.0,7.0,225.0,87.09805658818217,15.66,47.9,20.3,5.0,7.0,235.0,87.09805658818217,10.260000000000002,63.0,18.1,5.0,7.5,230.0,84.22530185772082,13.86,38.9,22.5
5.5,7.0,230.0,12.06,90.22514126346948,42.1,16.8,20.6,1,6,6,5.0,7.0,225.0,13.86,87.09805658818217,40.6,21.3,4.0,7.0,225.0,81.21727894075245,12.96,42.8,18.9,5.0,7.0,220.0,87.09805658818217,13.86,51.0,18.3,5.0,7.0,225.0,87.09805658818217,15.66,47.9,20.3,5.0,7.0,235.0,87.09805658818217,10.260000000000002,63.0,18.1
6.0,7.5,230.0,12.06,90.27318997435334,35.1,23.2,19.6,1,7,6,5.5,7.0,230.0,12.06,90.22514126346948,42.1,16.8,5.0,7.0,225.0,87.09805658818217,13.86,40.6,21.3,4.0,7.0,225.0,81.21727894075245,12.96,42.8,18.9,5.0,7.0,220.0,87.09805658818217,13.86,51.0,18.3,5.0,7.0,225.0,87.09805658818217,15.66,47.9,20.3
6.5,8.0,220.0,11.16,90.29877754458131,39.8,17.5,19.5,1,8,6,6.0,7.5,230.0,12.06,90.27318997435334,35.1,23.2,5.5,7.0,230.0,90.22514126346948,12.06,42.1,16.8,5.0,7.0,225.0,87.09805658818217,13.86,40.6,21.3,4.0,7.0,225.0,81.21727894075245,12.96,42.8,18.9,5.0,7.0,220.0,87.09805658818217,13.86,51.0,18.3
7.0,8.5,220.0,8.46,90.34630526028941,43.1,15.3,20.0,1,9,6,6.5,8.0,220.0,11.16,90.29877754458131,39.8,17.5,6.0,7.5,230.0,90.27318997435334,12.06,35.1,23.2,5.5,7.0,230.0,90.22514126346948,12.06,42.1,16.8,5.0,7.0,225.0,87.09805658818217,13.86,40.6,21.3,4.0,7.0,225.0,81.21727894075245,12.96,42.8,18.9
7.5,9.5,240.0,12.96,87.33622344478512,36.1,28.6,14.3,1,10,6,7.0,8.5,220.0,8.46,90.34630526028941,43.1,15.3,6.5,8.0,220.0,90.29877754458131,11.16,39.8,17.5,6.0,7.5,230.0,90.27318997435334,12.06,35.1,23.2,5.5,7.0,230.0,90.22514126346948,12.06,42.1,16.8,5.0,7.0,225.0,87.09805658818217,13.86,40.6,21.3
7.5,10.0,245.0,13.86,84.50107659897556,34.3,35.5,5.5,1,11,6,7.5,9.5,240.0,12.96,87.33622344478512,36.1,28.6,7.0,8.5,220.0,90.34630526028941,8.46,43.1,15.3,6.5,8.0,220.0,90.29877754458131,11.16,39.8,17.5,6.0,7.5,230.0,90.27318997435334,12.06,35.1,23.2,5.5,7.0,230.0,90.22514126346948,12.06,42.1,16.8
7.0,10.0,240.0,15.66,81.61891574974696,42.1,33.2,5.9,1,12,6,7.5,10.0,245.0,13.86,84.50107659897556,34.3,35.5,7.5,9.5,240.0,87.33622344478512,12.96,36.1,28.6,7.0,8.5,220.0,90.34630526028941,8.46,43.1,15.3,6.5,8.0,220.0,90.29877754458131,11.16,39.8,17.5,6.0,7.5,230.0,90.27318997435334,12.06,35.1,23.2
7.0,10.0,240.0,14.76,81.61891574974696,49.1,30.2,8.3,1,13,6,7.0,10.0,240.0,15.66,81.61891574974696,42.1,33.2,7.5,10.0,245.0,84.50107659897556,13.86,34.3,35.5,7.5,9.5,240.0,87.33622344478512,12.96,36.1,28.6,7.0,8.5,220.0,90.34630526028941,8.46,43.1,15.3,6.5,8.0,220.0,90.29877754458131,11.16,39.8,17.5
6.5,8.0,310.0,20.340000000000003,90.27602561581529,44.8,35.8,4.0,1,14,6,7.0,10.0,240.0,14.76,81.61891574974696,49.1,30.2,7.0,10.0,240.0,81.61891574974696,15.66,42.1,33.2,7.5,10.0,245.0,84.50107659897556,13.86,34.3,35.5,7.5,9.5,240.0,87.33622344478512,12.96,36.1,28.6,7.0,8.5,220.0,90.34630526028941,8.46,43.1,15.3
4.5,6.0,185.0,20.52,90.15068137708732,37.8,45.6,2.7,1,15,6,6.5,8.0,310.0,20.340000000000003,90.27602561581529,44.8,35.8,7.0,10.0,240.0,81.61891574974696,14.76,49.1,30.2,7.0,10.0,240.0,81.61891574974696,15.66,42.1,33.2,7.5,10.0,245.0,84.50107659897556,13.86,34.3,35.5,7.5,9.5,240.0,87.33622344478512,12.96,36.1,28.6
