Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
TH4,NO2,01/01/2017 00:00,38.90000,ug m-3,R
TH4,NO2,01/01/2017 01:00,63.00000,ug m-3,R
TH4,NO2,01/01/2017 02:00,47.90000,ug m-3,R
TH4,NO2,01/01/2017 03:00,51.00000,ug m-3,R
TH4,NO2,01/01/2017 04:00,42.80000,ug m-3,R
TH4,NO2,01/01/2017 05:00,40.60000,ug m-3,R
TH4,NO2,01/01/2017 06:00,42.10000,ug m-3,R
TH4,NO2,01/01/2017 07:00,35.10000,ug m-3,R
TH4,NO2,01/01/2017 08:00,39.80000,ug m-3,R
TH4,NO2,01/01/2017 09:00,43.10000,ug m-3,R
TH4,NO2,01/01/2017 10:00,36.10000,ug m-3,R
TH4,NO2,01/01/2017 11:00,34.30000,ug m-3,R
TH4,NO2,01/01/2017 12:00,42.10000,ug m-3,R
TH4,NO2,01/01/2017 13:00,49.10000,ug m-3,R
TH4,NO2,01/01/2017 14:00,44.80000,ug m-3,R
TH4,NO2,01/01/2017 15:00,37.80000,ug m-3,R
TH4,NO2,01/01/2017 16:00,34.30000,ug m-3,R
TH4,NO2,01/01/2017 17:00,25.70000,ug m-3,R
TH4,NO2,01/01/2017 18:00,35.20000,ug m-3,R
TH4,NO2,01/01/2017 19:00,31.20000,ug m-3,R
TH4,NO2,01/01/2017 20:00,34.80000,ug m-3,R
TH4,NO2,01/01/2017 21:00,40.60000,ug m-3,R
TH4,NO2,01/01/2017 22:00,34.90000,ug m-3,R
TH4,NO2,01/01/2017 23:00,38.60000,ug m-3,R
TH4,NO2,02/01/2017 00:00,30.70000,ug m-3,R
TH4,NO2,02/01/2017 01:00,27.40000,ug m-3,R
TH4,NO2,02/01/2017 02:00,24.30000,ug m-3,R
TH4,NO2,02/01/2017 03:00,26.80000,ug m-3,R
TH4,NO2,02/01/2017 04:00,33.90000,ug m-3,R
TH4,NO2,02/01/2017 05:00,42.50000,ug m-3,R
TH4,NO2,02/01/2017 06:00,44.10000,ug m-3,R
TH4,NO2,02/01/2017 07:00,49.90000,ug m-3,R
TH4,NO2,02/01/2017 08:00,57.00000,ug m-3,R
TH4,NO2,02/01/2017 09:00,58.00000,ug m-3,R
TH4,NO2,02/01/2017 10:00,50.40000,ug m-3,R
TH4,NO2,02/01/2017 11:00,47.50000,ug m-3,R
TH4,NO2,02/01/2017 12:00,51.80000,ug m-3,R
TH4,NO2,02/01/2017 13:00,55.80000,ug m-3,R
TH4,NO2,02/01/2017 14:00,69.50000,ug m-3,R
TH4,NO2,02/01/2017 15:00,82.70000,ug m-3,R
TH4,NO2,02/01/2017 16:00,91.60000,ug m-3,R
TH4,NO2,02/01/2017 17:00,92.50000,ug m-3,R
TH4,NO2,02/01/2017 18:00,87.40000,ug m-3,R
TH4,NO2,02/01/2017 19:00,102.40000,ug m-3,R
TH4,NO2,02/01/2017 20:00,85.50000,ug m-3,R
TH4,NO2,02/01/2017 21:00,88.90000,ug m-3,R
TH4,NO2,02/01/2017 22:00,83.90000,ug m-3,R
TH4,NO2,02/01/2017 23:00,85.40000,ug m-3,R
TH4,NO2,03/01/2017 00:00,72.80000,ug m-3,R
TH4,NO2,03/01/2017 01:00,67.70000,ug m-3,R
TH4,NO2,03/01/2017 02:00,59.50000,ug m-3,R
TH4,NO2,03/01/2017 03:00,57.10000,ug m-3,R
TH4,NO2,03/01/2017 04:00,54.60000,ug m-3,R
TH4,NO2,03/01/2017 05:00,57.20000,ug m-3,R
TH4,NO2,03/01/2017 06:00,66.00000,ug m-3,R
TH4,NO2,03/01/2017 07:00,72.60000,ug m-3,R
TH4,NO2,03/01/2017 08:00,85.10000,ug m-3,R
